id,recording,species,songtype,x1,y1,x2,y2,dur,bw
10888,00000.wav,Junco hyemalis,Mechanical Song,35.2402766482579,3452,37.1912499063987,6554,2,3101.5
10889,00000.wav,Junco hyemalis,Mechanical Song,20.9601628651441,3212,22.8759568483886,6312,1.9,3100
10890,00000.wav,Junco hyemalis,Mechanical Song,8.59122785110162,3572,10.6509461912435,6584,2.1,3012.1
10891,00001.wav,Junco hyemalis,Mechanical Song,29.2048014509355,3452,30.8093976708667,7356,1.6,3903.4
10892,00001.wav,Junco hyemalis,Mechanical Song,9.07545819014891,3418,10.5190196639939,6957,1.4,3539.1
10893,00002.wav,Junco hyemalis,Mechanical Song,19.0560015196889,4004,20.4913676802459,6223,1.4,2218.8
10894,00003.wav,Junco hyemalis,Mechanical Song,26.8823784722222,3342,28.5141493055556,6715,1.6,3373.1
11748,00004.wav,Junco hyemalis,Mechanical Song,15.2308199371513,2578,17.8851000231112,6280,2.7,3701.3
11749,00004.wav,Junco hyemalis,Mechanical Song,49.8875189619966,3104,52.1317883029708,6238,2.2,3133.5
11750,00005.wav,Junco hyemalis,Mechanical Song,17.0522934696091,3436,19.4206675017711,6091,2.4,2655.4
14505,00006.wav,Junco hyemalis,Mechanical Song,41.7990878670121,3169,43.2884283246978,6419,1.5,3250
14507,00007.wav,Junco hyemalis,Mechanical Song,8.80712835551545,3081,10.5739905256034,6675,1.8,3593.8
14537,00008.wav,Junco hyemalis,Mechanical Song,26.5258606142423,2870,28.2644279446507,6254,1.7,3383.2
14538,00009.wav,Junco hyemalis,Mechanical Song,43.2673512747875,2910,44.7778682719547,6187,1.5,3277.1
14539,00010.wav,Junco hyemalis,Mechanical Song,0.31326633555797,2727,2.01051528790936,6516,1.7,3789.6
14540,00011.wav,Junco hyemalis,Mechanical Song,24.824688594784,2395,26.7888526664072,5919,2,3524.2
14541,00012.wav,Junco hyemalis,Mechanical Song,22.4970075905021,2771,24.25009731413,6848,1.8,4076.8
14542,00013.wav,Junco hyemalis,Mechanical Song,25.4813643441028,3612,26.9764743090697,6111,1.5,2498.9
14543,00014.wav,Junco hyemalis,Mechanical Song,42.0181083507932,2706,43.562980145665,6188,1.5,3481.2
14544,00015.wav,Junco hyemalis,Mechanical Song,43.9597176494064,2819,45.7330140676444,6706,1.8,3887.5
14545,00016.wav,Junco hyemalis,Mechanical Song,37.9788313939094,2756,40.2014731369151,5194,2.2,2437.5
14546,00017.wav,Junco hyemalis,Mechanical Song,28.2976603119584,2881,30.4059379384336,5506,2.1,2625
14547,00018.wav,Junco hyemalis,Mechanical Song,53.4130147726335,3406,55.4964306346455,7019,2.1,3612.5
14548,00019.wav,Junco hyemalis,Mechanical Song,37.3970661054717,2325,39.2716431459932,5888,1.9,3562.5
14587,00020.wav,Junco hyemalis,Mechanical Song,24.271327014218,3303,26.2887646816402,6622,2,3318.3
33808,00021.wav,Junco hyemalis,Mechanical Song,27.4462872439479,825,27.8389781191806,2344,0.4,1518.8
