id,recording,species,songtype,x1,y1,x2,y2,dur,bw
12855,00078.wav,Vireo gilvus,Common Song,19.3806788511749,2222,21.9815491731941,5452,2.6,3230.4
12860,00078.wav,Vireo gilvus,Common Song,19.4216384683882,2306,22.063947016919,5406,2.6,3100
12864,00079.wav,Vireo gilvus,Common Song,13.1635028653295,2276,15.6883058739255,5355,2.5,3079.6
12874,00080.wav,Vireo gilvus,Common Song,25.3790502793296,2480,27.3761638733706,6478,2,3997.5
12876,00081.wav,Vireo gilvus,Common Song,32.2578145872295,2056,34.7206118087096,5938,2.5,3882.2
12879,00082.wav,Vireo gilvus,Common Song,48.2198027937551,2486,50.7694124897288,5498,2.5,3012
12881,00083.wav,Vireo gilvus,Common Song,15.4423221678585,2343,17.4604817463304,5501,2,3158.3
12883,00084.wav,Vireo gilvus,Common Song,5.35659064553537,2457,7.52251642829532,6374,2.2,3916.6
12885,00085.wav,Vireo gilvus,Common Song,7.72159472153881,2016,11.1848579736077,6690,3.5,4673.9
12887,00015.wav,Vireo gilvus,Common Song,9.31832627118644,2145,11.3394244350282,6183,2,4038.6
12890,00086.wav,Vireo gilvus,Common Song,50.4596135571745,1955,52.4634938232499,5578,2,3623.8
12892,00087.wav,Vireo gilvus,Common Song,3.81150421743205,2128,6.52190721649484,6716,2.7,4588.4
12893,00088.wav,Vireo gilvus,Common Song,18.33172436751,2045,20.1368175765646,6360,1.8,4315.1
12895,00089.wav,Vireo gilvus,Common Song,2.80060255779636,2050,4.2527668470241,6010,1.5,3960.3
12897,00090.wav,Vireo gilvus,Common Song,40.9486314572089,2225,43.0622590593678,5769,2.1,3543.5
12900,00091.wav,Vireo gilvus,Common Song,28.9362367661213,2294,31.4683991017004,6144,2.5,3849.4
12902,00092.wav,Vireo gilvus,Common Song,0.586850649350649,2427,2.64082792207792,5331,2.1,2904.6
12905,00093.wav,Vireo gilvus,Common Song,32.8885679271709,2197,34.8926820728291,6830,2,4633
12908,00094.wav,Vireo gilvus,Common Song,29.7560338616715,2016,32.3387968299712,6804,2.6,4788.6
12909,00095.wav,Vireo gilvus,Common Song,1.36697345890411,2483,3.40453767123288,5662,2,3179.1
12910,00023.wav,Vireo gilvus,Common Song,27.6145833333333,2166,29.5924873737374,6789,2,4623.2
12912,00096.wav,Vireo gilvus,Common Song,5.98090118938701,2172,8.73707685269899,5559,2.8,3387
12916,00097.wav,Vireo gilvus,Common Song,12.294975067127,2062,14.2825086306099,6440,2,4378.5
12917,00098.wav,Vireo gilvus,Common Song,26.9771250676773,2357,29.5867623172712,5047,2.6,2690.5
13193,00099.wav,Vireo gilvus,Common Song,8.74398695474929,2338,10.9545454545455,5942,2.2,3604.3
13194,00100.wav,Vireo gilvus,Common Song,19.0251714182606,2375,20.4384698664742,5171,1.4,2796.5
13195,00101.wav,Vireo gilvus,Common Song,18.3761956325573,2215,20.7683631113517,6080,2.4,3865.3
15607,00102.wav,Vireo gilvus,Common Song,37.3856479612434,2198,40.0612636253532,5387,2.7,3188.8
15608,00103.wav,Vireo gilvus,Common Song,24.5303571428571,2360,26.9403571428571,6557,2.4,4196.8
15609,00103.wav,Vireo gilvus,Common Song,33.5104761904762,2284,36.4369047619048,6481,2.9,4196.8
15610,00104.wav,Vireo gilvus,Common Song,23.860847992783,2389,26.7687189896256,6337,2.9,3947.6
15611,00104.wav,Vireo gilvus,Common Song,32.5844609833108,2252,35.0031574199369,6071,2.4,3819.1
15612,00105.wav,Vireo gilvus,Common Song,10.8077883742053,2273,13.7628292461399,5750,3,3477.1
15613,00106.wav,Vireo gilvus,Common Song,52.0392744479495,2017,53.6548107255521,6035,1.6,4018.1
15615,00107.wav,Vireo gilvus,Common Song,47.5657894736842,2518,50.0595298926929,6046,2.5,3528
15616,00108.wav,Vireo gilvus,Common Song,43.692423172024,2233,46.3314199929354,6380,2.6,4147.6
15617,00109.wav,Vireo gilvus,Common Song,10.9999014195584,2442,13.3756900630915,6330,2.4,3887.9
15618,00110.wav,Vireo gilvus,Common Song,4.20348837209302,1843,6.37897796817625,5413,2.2,3570
15619,00111.wav,Vireo gilvus,Common Song,32.3193288241415,2208,35.0465660770031,6053,2.7,3844.5
15620,00112.wav,Vireo gilvus,Common Song,19.8055329536208,2187,21.6929414157852,5489,1.9,3302.9
15621,00113.wav,Vireo gilvus,Common Song,23.709584880189,2297,25.1736415794803,5790,1.5,3492.9
15642,00114.wav,Vireo gilvus,Common Song,24.1505073902493,2001,26.6094198102802,5971,2.5,3970.1
15643,00114.wav,Vireo gilvus,Common Song,7.23053165673947,2033,9.62298698433708,5947,2.4,3914.5
15644,00115.wav,Vireo gilvus,Common Song,1.32987886944818,2044,3.34091520861373,5726,2,3682.3
15645,00115.wav,Vireo gilvus,Common Song,8.12523553162853,1868,10.2011440107672,5744,2.1,3876.1
15646,00116.wav,Vireo gilvus,Common Song,29.2573552183338,2055,31.0579513781356,5705,1.8,3650.4
